Key,Type,Desc,English,French,Russian,German,Korean,Chinese,Indonesian,Italian,Japanese,Persian,Romanian,Thai,Spanish,Turkish,Vietnamese,Polish,Arabic,Czech,Portuguese (Brazil)
Ingame/Defeat,Text,,[i2auto]Defeat,[i2auto]Défaite,[i2auto]Поражение,[i2auto]Niederlage,[i2auto]패배,[i2auto]失败,[i2auto]Kekalahan,[i2auto]Sconfitta,[i2auto]敗北,[i2auto]شکست,[i2auto]Înfrângere,[i2auto]ความพ่ายแพ้,[i2auto]Derrota,[i2auto]Yenilgi,[i2auto]Đánh bại,[i2auto]Porażka,[i2auto]هزيمة,[i2auto]Porážka,[i2auto]Derrota
Ingame/Play Again,Text,,[i2auto]Play Again,[i2auto]Play Again,[i2auto]Играть снова,[i2auto]Spiel nochmal,[i2auto]다시 플레이,[i2auto]再玩一次,[i2auto]Main lagi,[i2auto]Gioca ancora,[i2auto]再びプレー,[i2auto]دوباره بازی کن,[i2auto]Joacă din nou,[i2auto]เล่นอีกครั้ง,[i2auto]Juega de nuevo,[i2auto]Tekrar oyna,[i2auto]Chơi lại,[i2auto]Zagrać ponownie,[i2auto]العب مرة أخرى,[i2auto]Hrát znovu,[i2auto]Jogar de novo
Ingame/Victory,Text,,[i2auto]Victory,[i2auto]Victoire,[i2auto]Победа,[i2auto]Sieg,[i2auto]승리,[i2auto]胜利,[i2auto]Kemenangan,[i2auto]Vittoria,[i2auto]勝利,[i2auto]پیروزی,[i2auto]Victorie,[i2auto]ชัยชนะ,[i2auto]Victoria,[i2auto]Zafer,[i2auto]Victory,[i2auto]Zwycięstwo,[i2auto]فوز,[i2auto]Výhra,[i2auto]Vitória
Ingame/Pause,Text,,[i2auto]Pause,[i2auto]Pause,[i2auto]Пауза,[i2auto]Pausieren,[i2auto]중지,[i2auto]休止符,[i2auto]Berhenti sebentar,[i2auto]Pausa,[i2auto]一時停止,[i2auto]مکث,[i2auto]Pauză,[i2auto]หยุดชั่วคราว,[i2auto]Pausa,[i2auto]Pause,[i2auto]Tạm ngừng,[i2auto]Pauza,[i2auto]إيقاف مؤقت,[i2auto]Pauza,[i2auto]Pausa
Ingame/Objectives and Quests,Text,,[i2auto]Objectives and Quests,[i2auto]Objectifs et Quêtes,[i2auto]Цели и квесты,[i2auto]Ziele und Quests,[i2auto]목표 및 퀘스트,[i2auto]目标和任务,[i2auto]Tujuan dan Quests,[i2auto]Obiettivi e Missioni,[i2auto]目標とクエスト,[i2auto]اهداف و ماموریت,[i2auto]Obiective și quest-uri,[i2auto]วัตถุประสงค์และเควส,[i2auto]Objetivos y misiones,[i2auto]Amaç ve Görevler,[i2auto]Mục tiêu và nhiệm,[i2auto]Cele i misje,[i2auto]أهداف ومهام,[i2auto]Cíle a Úkoly,[i2auto]Objectivos e Missões
Ingame/Confirm,Text,,[i2auto]Confirm,[i2auto]Confirmer,[i2auto]Подтвердить,[i2auto]Bestätigen,[i2auto]확인,[i2auto]证实,[i2auto]Konfirmasi,[i2auto]Confermare,[i2auto]確認してください,[i2auto]تاييد كردن,[i2auto]A confirma,[i2auto]ยืนยัน,[i2auto]Confirmar,[i2auto]Onaylamak,[i2auto]Xác nhận,[i2auto]Potwierdź,[i2auto]تأكيد,[i2auto]Potvrdit,[i2auto]Confirmar
Ingame/Build Tribe Center:,Text,,Build Tribe Center:,[i2auto]Build Center de la tribu:,[i2auto]Построить Tribe центр:,[i2auto]Baue Tribe Center:,[i2auto]부족 센터 구축 :,[i2auto]建立部落中心：,[i2auto]Membangun Tribe Pusat:,[i2auto]Costruire Tribe Centro:,[i2auto]部族センターを構築します。,[i2auto]ساخت مرکز نژاد:,[i2auto]Construi Trib Center:,[i2auto]สร้างศูนย์เผ่า:,[i2auto]Construir Tribu Centro:,[i2auto]Kabile Merkezi'ni inşa etmek:,[i2auto]Xây dựng Trung tâm Tribe:,[i2auto]Zbuduj Tribe Center:,[i2auto]بناء مركز القبيلة:,[i2auto]Build Tribe Center:,Construir Centro Da Tribo:
Ingame/require,Text,,requisites,[i2auto]requis,[i2auto]реквизиты,[i2auto]Bedarf,[i2auto]필수,[i2auto]先决条件,[i2auto]syarat,[i2auto]requisiti,[i2auto]前提条件,[i2auto]نیاز مندی های,[i2auto]rechizite,[i2auto]จำเป็น,[i2auto]requisitos,[i2auto]Koşul,[i2auto]điều kiện tiên quyết,[i2auto]przybory,[i2auto]الشروط,[i2auto]náležitosti,[i2auto]requisitos
Ingame/Surrender,Text,,surrender,[i2auto]abandon,[i2auto]сдача,[i2auto]Übergabe,[i2auto]항복,[i2auto]投降,[i2auto]menyerah,[i2auto]resa,[i2auto]降伏,[i2auto]تسلیم,[i2auto]predare,[i2auto]ยอมจำนน,[i2auto]Rendición,[i2auto]teslim,[i2auto]đầu hàng,[i2auto]poddanie,[i2auto]استسلام,[i2auto]kapitulace,[i2auto]rendição
Ingame/Next Level,Text,,next level,[i2auto]niveau suivant,[i2auto]следующий уровень,[i2auto]nächste Ebene,[i2auto]다음 레벨,[i2auto]下一级,[i2auto]tingkat berikutnya,[i2auto]livello successivo,[i2auto]次のレベル,[i2auto]مرحله ی بعد,[i2auto]Nivelul următor,[i2auto]ระดับถัดไป,[i2auto]siguiente nivel,[i2auto]sonraki seviye,[i2auto]cấp độ tiếp theo,[i2auto]Następny poziom,[i2auto]المرحلة التالية,[i2auto]další úroveň,[i2auto]próximo nível
Menus/Loading,Text,Loading,[i2auto]Loading,[i2auto]Chargement,[i2auto]Загрузка,[i2auto]Loading,[i2auto]로드,[i2auto]载入中,[i2auto]Pemuatan,[i2auto]Caricamento,[i2auto]読み込んでいます,[i2auto]در حال بارگذاری,[i2auto]Încărcare,[i2auto]โหลด,[i2auto]Cargando,[i2auto]Yükleniyor,[i2auto]Đang tải,[i2auto]Ładowanie,[i2auto]جار التحميل,[i2auto]Nahrávám,[i2auto]Carregando
Menus/Username,Text,Username,[i2auto]Username,[i2auto]Nom d'utilisateur,[i2auto]Имя пользователя,[i2auto]Benutzername,[i2auto]사용자 이름,[i2auto]用户名,[i2auto]Nama pengguna,[i2auto]Nome utente,[i2auto]ユーザー名,[i2auto]نام کاربری,[i2auto]Nume de utilizator,[i2auto]ชื่อผู้ใช้,[i2auto]Nombre de usuario,[i2auto]Kullanıcı adı,[i2auto]Tên đăng nhập,[i2auto]Nazwa użytkownika,[i2auto]اسم المستخدم,[i2auto]Uživatelské jméno,[i2auto]Nome de Usuário
Menus/I have read and accepted all the terms and rights of conduct of this product,Text,Terms of use,[i2auto]I have read and accepted all the terms and rights of conduct of this product,[i2auto]Je l'ai lu et accepté tous les termes et les droits de conduite de ce produit,[i2auto]Я прочитал и принял все условия и права проведения этого продукта,[i2auto]Ich habe alle Bedingungen und Rechte der Durchführung von diesen Artikel gelesen und akzeptiert,[i2auto]나는이 제품의 행동의 모든 조건과 권리를 읽고이를 수락,[i2auto]我已经阅读并接受本产品的行为的全部条款和权利,[i2auto]Saya telah membaca dan menerima semua syarat dan hak etik produk ini,[i2auto]Ho letto e accettato tutti i termini e diritti di comportamento di questo prodotto,[i2auto]私はこの製品の行動のすべての条項および権利を読み、受け入れました,[i2auto]من خوانده و پذیرفته تمام شرایط و حقوق انجام این محصول,[i2auto]Am citit și acceptat toți termenii și drepturile de conduită al acestui produs,[i2auto]ฉันได้อ่านและได้รับการยอมรับทุกเงื่อนไขและสิทธิของการดำเนินการของผลิตภัณฑ์นี้,[i2auto]He leído y aceptado todos los términos y derechos de conducta de este producto,[i2auto]Ben bu ürünün davranış tüm şartları ve hakları okudum ve kabul ediyorum,[i2auto]Tôi đã đọc và chấp nhận tất cả các điều khoản và quyền về hành vi của sản phẩm này,[i2auto]I Przeczytałem wszystkie zasady i prawa do prowadzenia tego produktu,[i2auto]لقد قرأت وقبلت كل الشروط والحقوق لسلوك هذا المنتج,[i2auto]Přečetl jsem a potvrzuji všechny podmínky a práva chování tohoto výrobku,[i2auto]Eu li e aceito todos os termos e direitos de conduta deste produto
Menus/Must Accept Terms and Conditions,Text,Terms Warning,[i2auto]Must Accept Terms and Conditions,[i2auto]Doit accepter les termes et conditions,[i2auto]Должны принять Условия,[i2auto]Muss AGB akzeptieren,[i2auto]이용 약관에 동의해야합니다,[i2auto]必须接受条款和条件,[i2auto]Harus Terima Syarat dan Ketentuan,[i2auto]Deve Accetta Termini e Condizioni,[i2auto]規約に同意する必要があります,[i2auto]باید قبول قوانین و مقررات,[i2auto]Trebuie să accepte Termeni și condiții,[i2auto]ต้องยอมรับข้อตกลงและเงื่อนไข,[i2auto]Debe aceptar los Términos y Condiciones,[i2auto]Şartlar ve Koşulları Kabul Etmeli,[i2auto]Phải chấp nhận Điều khoản và Điều kiện,[i2auto]Musi zaakceptować Warunki Umowy,[i2auto]يجب قبول الشروط والأحكام,[i2auto]Musí přijmout podmínky,[i2auto]Deve aceitar os Termos e Condições
Menus/New Game,Text,New game,[i2auto]New Game,[i2auto]Nouveau jeu,[i2auto]Новая игра,[i2auto]Neues Spiel,[i2auto]새로운 게임,[i2auto]新游戏,[i2auto]Permainan baru,[i2auto]Nuovo gioco,[i2auto]新しいゲーム,[i2auto]بازی جدید,[i2auto]Joc nou,[i2auto]เกมส์ใหม่,[i2auto]Nuevo juego,[i2auto]Yeni oyun,[i2auto]Trò chơi mới,[i2auto]Nowa gra,[i2auto]لعبة جديدة,[i2auto]Nová hra,[i2auto]Novo jogo
Menus/Market,Text,Market btn,[i2auto]Market,[i2auto]Marché,[i2auto]Рынок,[i2auto]Markt,[i2auto]시장,[i2auto]市,[i2auto]Pasar,[i2auto]Mercato,[i2auto]市場,[i2auto]بازار,[i2auto]Piață,[i2auto]ตลาด,[i2auto]Mercado,[i2auto]Pazar,[i2auto]Thị trường,[i2auto]Rynek,[i2auto]سوق,[i2auto]Tržní,[i2auto]Mercado
Menus/About,Text,About btn,[i2auto]Info,[i2auto]Infos,[i2auto]Информация,[i2auto]Infos,[i2auto]정보,[i2auto]信息,[i2auto]Info,Info,[i2auto]情報,[i2auto]اطلاعات,[i2auto]Info,[i2auto]ข้อมูล,[i2auto]Info,[i2auto]Bilgi,[i2auto]Thông tin,[i2auto]Informacje,[i2auto]معلومات,[i2auto]Info,Sobre
Menus/Avatar,Text,Avatar StdBg,[i2auto]Avatar,[i2auto]Avatar,[i2auto]Аватар,[i2auto]Benutzerbild,[i2auto]화신,[i2auto]阿凡达,[i2auto]Avatar,[i2auto]Avatar,[i2auto]化身,[i2auto]آواتار ها,[i2auto]Avatar,[i2auto]สัญลักษณ์,[i2auto]Avatar,[i2auto]Avatar,[i2auto]Avatar,[i2auto]Awatara,[i2auto]الصورة الرمزية,[i2auto]Avatar,[i2auto]Avatar
Menus/Mode,Text,,[i2auto]Mode,[i2auto]Mode,[i2auto]Режим,[i2auto]Mode,[i2auto]모드,[i2auto]状态,[i2auto]Mode,[i2auto]Modo,[i2auto]モード,[i2auto]حالت,[i2auto]Mod,[i2auto]โหมด,[i2auto]Modo,[i2auto]Kip,[i2auto]Chế độ,[i2auto]Tryb,[i2auto]طريقة,[i2auto]Mode,[i2auto]Modo
Menus/bet,Text,Bet,bet,[i2auto]pari,[i2auto]делать ставку,[i2auto]Wette,[i2auto]내기,[i2auto]赌注,[i2auto]taruhan,[i2auto]scommessa,[i2auto]賭け,[i2auto]شرط,[i2auto]pariu,[i2auto]เดิมพัน,[i2auto]apuesta,[i2auto]bahis,[i2auto]đánh cuộc,[i2auto]zakład,[i2auto]رهان,[i2auto]sázka,[i2auto]aposta
Menus/connecting,Text,connecting Msg,[i2auto]connecting,[i2auto]connexion,[i2auto]соединяющий,[i2auto]Anschluss,[i2auto]연결,[i2auto]连,[i2auto]menghubungkan,[i2auto]collegamento,[i2auto]接続します,[i2auto]اتصال,[i2auto]conectare,[i2auto]การเชื่อมต่อ,[i2auto]conexión,[i2auto]bağlama,[i2auto]kết nối,[i2auto]podłączenia,[i2auto]توصيل,[i2auto]spojovací,[i2auto]conectando
Menus/Invalid Username,Text,,Invalid Username,[i2auto]Nom d'utilisateur invalide,[i2auto]Неверное имя пользователя,[i2auto]Ungültiger Benutzername,[i2auto]잘못된 사용자 이름,[i2auto]无效的用户名,[i2auto]Nama pengguna tidak valid,[i2auto]Nome utente non valido,[i2auto]無効なユーザー名,[i2auto]نام کاربری نامعتبر,[i2auto]Nume de utilizator invalid,[i2auto]ชื่อผู้ใช้ที่ไม่ถูกต้อง,[i2auto]Nombre de usuario no válido,[i2auto]Geçersiz kullanıcı adı,[i2auto]Tên sử dụng không hợp lệ,[i2auto]Zła nazwa użytkownika,[i2auto]اسم المستخدم غير صالح,[i2auto]Neplatné uživatelské jméno,[i2auto]Nome de usuário Inválido
Menus/Invite,Text,Facebook Invite Btn,[i2auto]Invite,[i2auto]Invitez,[i2auto]Приглашать,[i2auto]Einladen,[i2auto]초대,[i2auto]邀,[i2auto]Mengundang,[i2auto]Invitare,[i2auto]誘います,[i2auto]دعوت كردن,[i2auto]Invita,[i2auto]เชิญ,[i2auto]Invitar,[i2auto]Davet etmek,[i2auto]Mời,[i2auto]Zaproś,[i2auto]دعوة,[i2auto]Pozvat,[i2auto]Convidar
Menus/Invite your friends!,Text,,[i2auto]Invite your friends!,[i2auto]Invite tes amis!,[i2auto]Пригласить друзей!,[i2auto]Lade deine Freunde ein!,[i2auto]친구를 초대!,[i2auto]邀请你的朋友！,[i2auto]Undang temanmu!,[i2auto]Invita i tuoi amici!,[i2auto]友だちを招待！,[i2auto]دوستانت را دعوت کن!,[i2auto]Invita-ti prietenii!,[i2auto]เชิญเพื่อนของคุณ!,[i2auto]¡Invita a tus amigos!,[i2auto]Arkadaşlarını davet Et!,[i2auto]Mời bạn bè của bạn!,[i2auto]Zaproś swoich znajomych!,[i2auto]دعوة أصدقائك!,[i2auto]Pozvěte své přátele!,[i2auto]Convide seus amigos!
Menus/buy,Text,,[i2auto]buy,[i2auto]acheter,[i2auto]купить,[i2auto]kaufen,[i2auto]사기,[i2auto]购买,[i2auto]membeli,[i2auto]acquistare,[i2auto]購入,[i2auto]خرید,[i2auto]cumpăra,[i2auto]ซื้อ,[i2auto]comprar,[i2auto]satın almak,[i2auto]mua,[i2auto]kupować,[i2auto]يشترى,[i2auto]Koupit,[i2auto]comprar
Menus/Begin,Text,,[i2auto]Begin,[i2auto]Commencer,[i2auto]Начать,[i2auto]Start,[i2auto]시작,[i2auto]开始,[i2auto]Mulai,[i2auto]Inizio,[i2auto]ベギン,[i2auto]آغاز,[i2auto]ÎNCEPE,[i2auto]เริ่มต้น,[i2auto]Comenzar,[i2auto]Başla,[i2auto]Bắt đầu,[i2auto]Rozpocząć,[i2auto]ابدأ,[i2auto]Začít,[i2auto]Início
Menus/controls,Text,,[i2auto]controls,[i2auto]contrôles,[i2auto]управления,[i2auto]Steuerungen,[i2auto]컨트롤,[i2auto]控制,[i2auto]kontrol,[i2auto]Controlli,[i2auto]コントロール,[i2auto]کنترل,[i2auto]Controalele,[i2auto]การควบคุม,[i2auto]controles,[i2auto]kontroller,[i2auto]điều khiển,[i2auto]sterownica,[i2auto]ضوابط,[i2auto]Ovládání,[i2auto]controles
Menus/Battle Mode,Text,,[i2auto]Battle Mode,[i2auto]Mode de combat,[i2auto]Battle Mode,[i2auto]Battle Mode,[i2auto]배틀 모드,[i2auto]对战模式,[i2auto]Battle Mode,[i2auto]Battle Mode,[i2auto]バトルモード,[i2auto]حالت نبرد,[i2auto]Modul de luptă,[i2auto]โหมดการต่อสู้,[i2auto]Modo de batalla,[i2auto]Battle Mode,[i2auto]Battle Mode,[i2auto]Battle Mode,[i2auto]وضع المعركة,[i2auto]Režim Bitva,[i2auto]Modo de Batalha
Menus/later,Text,,[i2auto]later,[i2auto]plus tard,[i2auto]позже,[i2auto]später,[i2auto]후,[i2auto]后,[i2auto]kemudian,[i2auto]dopo,[i2auto]後で,[i2auto]بعدا,[i2auto]mai târziu,[i2auto]ต่อมา,[i2auto]luego,[i2auto]sonra,[i2auto]sau,[i2auto]później,[i2auto]في وقت لاحق,[i2auto]později,[i2auto]mais tarde
Menus/continue,Text,,[i2auto]continue,[i2auto]continuer,[i2auto]Продолжать,[i2auto]fortsetzen,[i2auto]계속,[i2auto]继续,[i2auto]terus,[i2auto]continuare,[i2auto]続けます,[i2auto]ادامه دادن,[i2auto]continua,[i2auto]ดำเนินการต่อไป,[i2auto]continuar,[i2auto]devam etmek,[i2auto]tiếp tục,[i2auto]kontynuować,[i2auto]تواصل,[i2auto]pokračovat,[i2auto]continuar
Menus/Enjoyed the game?,Text,,[i2auto]Enjoyed the game?,[i2auto]Nous avons apprécié le jeu?,[i2auto]Понравилась игра?,[i2auto]Genießen Sie das Spiel?,[i2auto]게임을 즐겼다?,[i2auto]喜欢的游戏？,[i2auto]Menikmati permainan?,[i2auto]Abbiamo apprezzato il gioco?,[i2auto]ゲームを楽しみましたか？,[i2auto]لذت می برد این بازی؟,[i2auto]Sa bucurat de joc?,[i2auto]มีความสุขกับเกมหรือไม่,[i2auto]Disfrutamos del juego?,[i2auto]Oyunu zevk?,[i2auto]Rất thích trò chơi?,[i2auto]Podobał mi się gra?,[i2auto]تتمتع اللعبة؟,[i2auto]Těšil hru?,[i2auto]Gostei muito do jogo?
Menus/Account,Text,,[i2auto]Account,[i2auto]Considération,[i2auto]Счет,[i2auto]Rechnung,[i2auto]계정,[i2auto]帐户,[i2auto]Rekening,[i2auto]Conto,[i2auto]アカウント,[i2auto]حساب,[i2auto]Cont,[i2auto]บัญชี,[i2auto]Cuenta,[i2auto]Hesap,[i2auto]Trương mục,[i2auto]Konto,[i2auto]حساب,[i2auto]Účet,[i2auto]Conta
Menus/Graphics,Text,,[i2auto]Graphics,[i2auto]Graphiques,[i2auto]Графика,[i2auto]Graphics,[i2auto]그래픽,[i2auto]图像,[i2auto]Graphics,[i2auto]Grafica,[i2auto]グラフィックス,[i2auto]گرافیک,[i2auto]Grafică,[i2auto]กราฟิก,[i2auto]Gráficos,[i2auto]Grafik,[i2auto]Đồ họa,[i2auto]Grafika,[i2auto]الرسومات,[i2auto]Grafika,[i2auto]Gráficos
Menus/Match Score,Text,,[i2auto]Match score,[i2auto]Score du match,[i2auto]Матч Счет,Spiel-Score,[i2auto]경기 점수,[i2auto]比赛成绩,[i2auto]Skor pertandingan,[i2auto]Al risultato,[i2auto]一致スコア,[i2auto]نمره بازی,[i2auto]Scor meci,[i2auto]คะแนนการแข่งขัน,[i2auto]Resultado del partido,[i2auto]Maç skoru,[i2auto]Tỷ số trận đấu,[i2auto]Wynik meczu,[i2auto]نتيجة مباراة,[i2auto]Match skóre,Pontuação
Menus/Map,Text,,[i2auto]Map,[i2auto]Carte,[i2auto]карта,[i2auto]Karte,[i2auto]지도,[i2auto]图,[i2auto]Peta,[i2auto]Mappa,[i2auto]マップ,[i2auto]نقشه,[i2auto]Hartă,[i2auto]แผนที่,[i2auto]Mapa,[i2auto]Harita,[i2auto]Bản đồ,[i2auto]Mapa,[i2auto]خريطة,[i2auto]Mapa,[i2auto]Mapa
Menus/Main Menu,Text,,[i2auto]Main Menu,[i2auto]Menu principal,[i2auto]Главное меню,[i2auto]Hauptmenü,[i2auto]주 메뉴,[i2auto]主菜单,[i2auto]Menu utama,[i2auto]Menu principale,[i2auto]メインメニュー,[i2auto]منوی اصلی,[i2auto]Meniul principal,[i2auto]เมนูหลัก,[i2auto]Menu principal,[i2auto]Ana menü,[i2auto]Thực đơn chính,[i2auto]Menu główne,[i2auto]القائمة الرئيسية,[i2auto]Hlavní menu,[i2auto]Menu principal
Menus/touch to start,Text,,[i2auto]touch to start,[i2auto]touchez pour commencer,[i2auto]"""нажмите, чтобы начать""",[i2auto]"""berühren, um zu starten""",[i2auto]시작 터치,[i2auto]按开始,[i2auto]sentuh untuk memulai,[i2auto]toccare per iniziare,[i2auto]起動に触れます,[i2auto]لمس برای شروع,[i2auto]atingeți pentru a începe,[i2auto]สัมผัสที่จะเริ่มต้น,[i2auto]toque para comenzar,[i2auto]başlatmak için dokunun,[i2auto]chạm để bắt đầu,[i2auto]"""dotknij, aby rozpocząć""",[i2auto]لمس لبدء,[i2auto]dotek na začátek,[i2auto]tocar para começar
Menus/Options,Text,,[i2auto]Options,[i2auto]Options,[i2auto]Опции,[i2auto]Optionen,[i2auto]옵션,[i2auto]选项,[i2auto]Pilihan,[i2auto]Opzioni,[i2auto]オプション,[i2auto]گزینه ها,[i2auto]Opțiuni,[i2auto]ตัวเลือก,[i2auto]Opciones,[i2auto]Seçenekler,[i2auto]Tùy chọn,[i2auto]Opcje,[i2auto]خيارات,[i2auto]Možnosti,[i2auto]Opções
Menus/Player,Text,,[i2auto]Player,[i2auto]Joueur,[i2auto]Игрок,[i2auto]Spieler,[i2auto]플레이어,[i2auto]播放器,[i2auto]Pemain,[i2auto]Giocatore,[i2auto]プレーヤー,[i2auto]بازیکن,[i2auto]Jucător,[i2auto]ผู้เล่น,[i2auto]Jugador,[i2auto]Player,[i2auto]Người chơi,[i2auto]Gracz,[i2auto]لاعب,[i2auto]Hráč,[i2auto]Jogador
Menus/presets,Text,,presets,[i2auto]presets,[i2auto]пресетов,[i2auto]Presets,[i2auto]사전,[i2auto]预设,[i2auto]preset,[i2auto]preset,[i2auto]プリセット,[i2auto]ایستگاه از پیش تنظیم,[i2auto]presetări,[i2auto]ที่ตั้งไว้ล่วงหน้า,[i2auto]presets,[i2auto]hafızalı,[i2auto]cài đặt trước,[i2auto]presetów,[i2auto]المسبقة,[i2auto]předvolby,[i2auto]presets
Menus/No Internet connection - Offline Mode,Text,,[i2auto]No Internet connection - Offline Mode,[i2auto]Pas de connexion Internet - mode hors ligne,[i2auto]Нет подключения к Интернету - Автономный режим,[i2auto]Keine Internetverbindung - Offline-Modus,[i2auto]인터넷에 연결하지 않습니다 - 오프라인 모드,[i2auto]没有网络连接 - 离线模式,[i2auto]Tidak ada koneksi internet - Mode Offline,[i2auto]Nessuna connessione a Internet - Modalità Offline,[i2auto]いいえ、インターネット接続がありません - オフラインモード,[i2auto]بدون اتصال به اینترنت - حالت آفلاین,[i2auto]Nici o conexiune la Internet - Mod Offline,[i2auto]การเชื่อมต่ออินเทอร์เน็ต - โหมดออฟไลน์,[i2auto]No hay conexión a Internet - Modo Desconectado,[i2auto]İnternet bağlantısı yok - Çevrimdışı Modu,[i2auto]Không có kết nối Internet - Chế độ Offline,[i2auto]Brak połączenia z Internetem - Tryb offline,[i2auto]لا اتصال إنترنت - وضع دون اتصال,[i2auto]Ne Internet připojení - Režim Offline,[i2auto]Sem ligação à Internet - Modo Desligado
